"","code","growth","Photo","Cond","Ci","Tleaf","PARi","CO2R","RH_S","Rd","rdTleaf"
"62","e3.3","warm",31.14055242,0.229715799,148.8767888,25.00026894,1799.832397,399.9111023,62.61695099,-0.396577867,25.1027228033333
"63","e3.3","warm",30.97563105,0.137002007,200.320753,25.20363045,1799.545166,599.9237671,59.91423798,-0.396577867,25.1027228033333
"64","e3.3","warm",33.82340142,0.127623951,331.2094161,25.12378883,1799.715454,800.1342773,60.46732712,-0.396577867,25.1027228033333
"65","e3.3","warm",28.75574683,0.064477292,438.3122114,25.13210678,1799.709717,1199.915405,58.7354393,-0.396577867,25.1027228033333
"66","e3.3","warm",32.90661374,0.077535983,761.4177975,25.03041267,1799.906738,1500.565796,59.08628082,-0.396577867,25.1027228033333
"67","e3.4","warm",7.469112927,0.483753224,17.52276696,24.99027252,1800.729614,50.07035446,63.40394211,-0.42,25
"68","e3.4","warm",14.18329722,0.479682663,37.44048645,24.89295959,1801.061768,99.74604797,63.36798096,-0.42,25
"69","e3.4","warm",19.41723874,0.478906507,63.72498228,24.85576248,1800.500488,149.4584656,62.86661911,-0.42,25
"70","e3.4","warm",24.37759547,0.484107196,92.7429165,24.9448719,1800.207153,199.8673248,62.48302078,-0.42,25
"71","e3.4","warm",27.99204496,0.468509989,123.3301497,25.01166344,1800.641968,249.9750671,62.10209274,-0.42,25
"72","e3.4","warm",29.9804332,0.402594119,171.2558984,24.97754288,1799.781372,325.0264282,60.63650894,-0.42,25
"73","e3.4","warm",30.95154575,0.304196385,201.4312133,24.93832588,1800.046021,401.3259583,58.28952408,-0.42,25
"74","e3.4","warm",32.4877214,0.200443792,297.7048414,24.98936272,1800.104126,599.9812622,55.42370224,-0.42,25
"75","e3.4","warm",32.85993719,0.127135246,339.9330601,25.11740875,1798.693115,800.7529297,52.92086411,-0.42,25
"76","e3.4","warm",33.6939541,0.145055875,768.4635082,25.13103867,1800.153076,1200.267456,53.79364777,-0.42,25
"77","e3.4","warm",35.05029918,0.090578639,814.5136988,25.12842941,1800.475708,1500.598633,51.92322922,-0.42,25
"78","i3.1","warm",9.30074229,0.620953317,16.81033552,25.02036095,1800.937256,49.98552322,61.18353271,-0.743290475666667,24.92072042
"79","i3.1","warm",17.78015996,0.6089067,35.79043462,25.09291077,1800.815552,100.2493362,60.22757721,-0.743290475666667,24.92072042
"80","i3.1","warm",25.61016167,0.598905236,55.88358625,25.1431427,1801.249023,150.0110016,59.90700531,-0.743290475666667,24.92072042
"81","i3.1","warm",29.71009586,0.578468627,86.24042968,25.0997963,1799.634277,198.8709412,59.97454453,-0.743290475666667,24.92072042
"82","i3.1","warm",31.29662369,0.539391001,124.4109076,24.91577911,1799.80896,250.285965,60.13037872,-0.743290475666667,24.92072042
"83","i3.1","warm",32.28376074,0.457693021,175.2495833,24.9160862,1799.80481,323.8000488,58.61244583,-0.743290475666667,24.92072042
"84","i3.1","warm",33.25871247,0.376735656,220.2626685,24.91322899,1800.362427,399.8529358,56.95176315,-0.743290475666667,24.92072042
"85","i3.1","warm",34.49437376,0.268375325,349.8044011,24.91897011,1800.493164,599.7411499,54.40848541,-0.743290475666667,24.92072042
"86","i3.1","warm",34.95451761,0.208030954,481.8776891,24.94249916,1800.315796,800.4050903,52.77550888,-0.743290475666667,24.92072042
"87","i3.1","warm",35.57065345,0.156799117,777.374482,24.92512894,1800.147705,1200.862183,51.67843628,-0.743290475666667,24.92072042
"88","i3.1","warm",35.75337686,0.134341013,1005.660909,24.83356285,1799.970825,1499.68689,50.89984131,-0.743290475666667,24.92072042
"89","i3.2","warm",9.800054043,0.655931899,16.47831673,25.07338142,1799.904419,49.74658203,60.02769852,-0.509460511333333,25.04409472
"90","i3.2","warm",19.13182673,0.64752359,34.44595446,25.13726044,1799.460327,100.0853653,59.91888428,-0.509460511333333,25.04409472
"91","i3.2","warm",27.47429912,0.649139962,55.69369878,25.12496948,1799.556641,149.956192,60.41357422,-0.509460511333333,25.04409472
"92","i3.2","warm",31.50749063,0.650183256,90.09749223,25.08214951,1799.889038,198.7857056,60.39824677,-0.509460511333333,25.04409472
"93","i3.2","warm",33.03427578,0.609654806,129.8358724,25.11077499,1799.866821,250.2953186,59.80867004,-0.509460511333333,25.04409472
"94","i3.2","warm",34.1578416,0.527271788,184.4416332,25.17165756,1800.026855,324.73172,58.48908997,-0.509460511333333,25.04409472
"95","i3.2","warm",34.9832948,0.455727654,238.7346903,25.14107132,1800.051147,400.8048401,57.62641144,-0.509460511333333,25.04409472
"96","i3.2","warm",36.210482,0.340484504,384.8078826,25.13407707,1800.281372,600.4108887,56.14246368,-0.509460511333333,25.04409472
"97","i3.2","warm",36.88239973,0.263927494,525.359319,25.09135628,1800.480225,800.041687,54.76038361,-0.509460511333333,25.04409472
"98","i3.2","warm",36.75964795,0.200726731,844.9708718,25.12430382,1800.388062,1199.862061,53.23987961,-0.509460511333333,25.04409472
"99","i3.2","warm",38.36497813,0.166001526,1059.375189,25.05047226,1800.496094,1499.97522,52.97283173,-0.509460511333333,25.04409472
"100","i3.3","warm",9.4319217,0.63157983,16.34348209,25.02018166,1800.182495,49.89080811,62.16343307,-0.783387965333333,24.9879341133333
"101","i3.3","warm",18.09451299,0.611504005,33.67833333,25.0243988,1799.809326,99.63367462,61.87480545,-0.783387965333333,24.9879341133333
"102","i3.3","warm",25.97179286,0.605364554,54.28834609,24.98803139,1800.4552,149.8128967,61.74011993,-0.783387965333333,24.9879341133333
"103","i3.3","warm",29.06050433,0.568725667,87.11994662,25.00144768,1800.598877,199.7745209,61.12982178,-0.783387965333333,24.9879341133333
"104","i3.3","warm",30.37297389,0.497333732,119.6105958,25.04527855,1800.825195,250.6626892,59.8033905,-0.783387965333333,24.9879341133333
"105","i3.3","warm",31.43300868,0.37274682,154.1784143,25.16396713,1800.754028,325.157074,57.68036652,-0.783387965333333,24.9879341133333
"106","i3.3","warm",32.18463894,0.294431054,186.5488538,25.08397102,1800.886475,399.7766724,56.73221207,-0.783387965333333,24.9879341133333
"107","i3.3","warm",33.24831364,0.188449442,274.2574495,25.06835175,1801.206055,600.2559204,54.71203995,-0.783387965333333,24.9879341133333
"108","i3.3","warm",33.04376563,0.143780029,384.2075083,24.92921829,1801.422607,799.9088745,53.80556488,-0.783387965333333,24.9879341133333
"109","i3.3","warm",33.698166,0.106100596,633.0594551,24.93709755,1799.526733,1199.55603,53.02451706,-0.783387965333333,24.9879341133333
"110","i3.3","warm",34.04889572,0.093482515,850.7933266,24.88972092,1799.610229,1499.788208,52.59719467,-0.783387965333333,24.9879341133333
"111","g3.1","warm",6.480051303,0.42479041,20.94689473,24.74315643,1800.028076,50.1006012,56.81452942,-0.468024633666667,25.11190351
"112","g3.1","warm",13.7084616,0.445434728,40.50894184,24.96782684,1799.917603,99.7077713,55.11777115,-0.468024633666667,25.11190351
"113","g3.1","warm",20.73783583,0.450029096,61.41625628,24.91426849,1800.655884,150.196228,55.33621216,-0.468024633666667,25.11190351
"114","g3.1","warm",25.56880993,0.45435053,91.2589255,25.00481033,1800.414307,200.3320313,54.32619095,-0.468024633666667,25.11190351
"115","g3.1","warm",27.77738223,0.44516661,128.9629353,25.03216171,1800.480957,250.3864899,54.06266022,-0.468024633666667,25.11190351
"116","g3.1","warm",28.35143341,0.429691742,195.1415944,24.92093086,1800.241089,324.5567322,55.00271225,-0.468024633666667,25.11190351
"117","g3.1","warm",27.93591327,0.411968838,267.1384674,24.879282,1800.317017,401.3029785,54.83875656,-0.468024633666667,25.11190351
"118","g3.1","warm",30.13226819,0.393614035,445.3972721,25.00876617,1800.708374,600.3480835,53.71175766,-0.468024633666667,25.11190351
"119","g3.1","warm",30.07909394,0.367894068,631.2496453,25.02078247,1800.520386,800.0621948,53.32689285,-0.468024633666667,25.11190351
"120","g3.1","warm",31.39368812,0.315181049,990.9329416,25.08520317,1800.45874,1200.282104,53.91578674,-0.468024633666667,25.11190351
"121","g3.1","warm",34.19552902,0.242991346,1214.817165,24.92807961,1799.871704,1498.79895,54.99160767,-0.468024633666667,25.11190351
"122","g3.2","warm",6.272789413,0.523400604,26.2011835,24.93725014,1799.73999,49.58766174,62.02907562,-0.538016440666667,24.9535783133333
"123","g3.2","warm",13.86543132,0.529250334,49.50887467,24.93954468,1799.435059,100.5093536,59.65369797,-0.538016440666667,24.9535783133333
"124","g3.2","warm",20.64058363,0.526717605,73.85731631,24.91606522,1799.400879,150.0739441,63.59635544,-0.538016440666667,24.9535783133333
"125","g3.2","warm",22.94805604,0.557303614,119.4906793,24.75928307,1799.468506,201.2287445,60.74567413,-0.538016440666667,24.9535783133333
"126","g3.2","warm",24.41708351,0.536276491,160.2807246,24.65294838,1799.286255,250.8048248,63.64624786,-0.538016440666667,24.9535783133333
"127","g3.2","warm",25.22493908,0.53234577,229.3291912,24.98753357,1799.521973,325.2695618,62.16705322,-0.538016440666667,24.9535783133333
"128","g3.2","warm",24.81000103,0.52353184,302.4308819,24.88236046,1799.628418,399.9677429,60.31744003,-0.538016440666667,24.9535783133333
"129","g3.2","warm",25.87837596,0.471852424,485.35995,24.67842484,1798.795532,599.9466553,63.60985565,-0.538016440666667,24.9535783133333
"130","g3.2","warm",26.33250314,0.435083231,671.0354652,25.00095558,1799.312378,800.4519653,61.98817825,-0.538016440666667,24.9535783133333
"131","g3.2","warm",28.59290307,0.390685799,1040.65836,24.84979248,1799.629639,1201.009644,63.20524597,-0.538016440666667,24.9535783133333
"132","g3.2","warm",28.25970905,0.340635709,1315.806394,24.92644501,1799.543701,1499.371216,63.15515137,-0.538016440666667,24.9535783133333
"133","g3.3","warm",5.084001523,0.387235932,24.5003935,24.91513252,1800.234131,49.22274399,52.90419769,-0.440487656,24.95696004
"134","g3.3","warm",11.69006524,0.400343164,45.28328962,24.88114357,1800.817139,100.1946335,51.34442902,-0.440487656,24.95696004
"135","g3.3","warm",19.2631307,0.429486642,66.00088471,24.8609333,1800.747559,150.9217834,51.40387726,-0.440487656,24.95696004
"136","g3.3","warm",23.73258929,0.433722516,97.02211494,25.05082321,1800.440674,201.3327026,51.96237946,-0.440487656,24.95696004
"137","g3.3","warm",24.89662971,0.435799814,141.061945,24.85732079,1800.504028,251.1490631,50.8797226,-0.440487656,24.95696004
"138","g3.3","warm",26.76977517,0.407747962,197.357427,25.04111481,1800.617676,324.1483154,49.83572769,-0.440487656,24.95696004
"139","g3.3","warm",27.84647918,0.370669209,255.7055146,25.10440636,1800.043213,400.3614807,52.06438828,-0.440487656,24.95696004
"140","g3.3","warm",27.04008258,0.329532286,439.1370994,24.88208008,1800.626953,600.085083,49.97829056,-0.440487656,24.95696004
"141","g3.3","warm",28.54890905,0.275217246,598.8594957,24.85082817,1800.561646,800.7623901,51.92938232,-0.440487656,24.95696004
"142","g3.3","warm",29.57432005,0.225877673,943.7826137,24.97249794,1800.401367,1201.589966,47.86702347,-0.440487656,24.95696004
"143","a3.1","warm",0.363818535,0.759533728,47.32280788,24.99668312,1799.355103,50.01690292,67.66461945,-0.336657808666667,25.04547183
"144","a3.1","warm",5.305217549,0.841658554,79.61444636,24.86924744,1801.075928,99.87127686,68.08924103,-0.336657808666667,25.04547183
"145","a3.1","warm",9.431827628,0.876858861,115.3363057,24.89933777,1800.862305,149.8591766,68.59120941,-0.336657808666667,25.04547183
"146","a3.1","warm",13.27293072,0.83816344,149.576393,24.98235893,1801.011963,198.9814148,67.69497681,-0.336657808666667,25.04547183
"147","a3.1","warm",16.69018761,0.714200159,183.0449093,25.01952171,1800.89978,250.7431793,66.67935944,-0.336657808666667,25.04547183
"148","a3.1","warm",19.32112376,0.570666952,210.3297305,25.06453705,1800.848022,299.8904419,63.61253738,-0.336657808666667,25.04547183
"149","a3.1","warm",26.99164943,0.434855304,347.7828113,25.08200455,1800.847656,498.8608093,60.82157135,-0.336657808666667,25.04547183
"150","a3.1","warm",30.97710195,0.287307458,512.3418568,25.10976982,1800.989502,749.402771,56.30619431,-0.336657808666667,25.04547183
"151","a3.1","warm",31.69978868,0.225431491,702.9228857,25.10963631,1801.05481,1000.97998,53.61939621,-0.336657808666667,25.04547183
"152","a3.1","warm",31.46751166,0.225279164,946.1426964,25.02227592,1801.244141,1250.084351,53.86006546,-0.336657808666667,25.04547183
"153","a3.1","warm",31.35487539,0.23594396,1199.624819,24.89430618,1800.388428,1500.051025,54.08706665,-0.336657808666667,25.04547183
"154","a3.1","warm",31.21984706,0.22974979,1485.504059,24.97595787,1801.238403,1800.380859,53.80404663,-0.336657808666667,25.04547183
"155","a3.2","warm",0.304475112,0.512051825,47.24039563,25.0187664,1799.11145,50.14208603,57.79351425,-0.462944724,24.8770192466667
"156","a3.2","warm",4.628475112,0.575697996,77.62820966,24.8755455,1800.137573,99.53549194,59.25023651,-0.462944724,24.8770192466667
"157","a3.2","warm",8.858242028,0.637912171,111.426304,24.87917709,1799.837036,149.7087708,60.36142731,-0.462944724,24.8770192466667
"158","a3.2","warm",12.52695614,0.631558541,144.9031303,24.94075966,1799.309326,198.9860382,60.43194962,-0.462944724,24.8770192466667
"159","a3.2","warm",15.49751954,0.533232858,175.8183935,25.08170891,1798.683105,250.1345978,58.42697906,-0.462944724,24.8770192466667
"160","a3.2","warm",16.96329429,0.378903533,197.1651255,25.109972,1799.90625,299.9487305,54.77648163,-0.462944724,24.8770192466667
"161","a3.2","warm",20.92174871,0.18462104,277.2977134,24.75317001,1800.799072,500.0382996,45.31373596,-0.462944724,24.8770192466667
"162","a3.2","warm",26.6043069,0.141564291,393.2547951,25.00681496,1800.772949,750.0876465,40.99448776,-0.462944724,24.8770192466667
"163","a3.2","warm",28.49389116,0.109110738,516.8246408,25.08525085,1800.011841,1000.631104,38.62242508,-0.462944724,24.8770192466667
"164","a3.2","warm",29.40803117,0.091451383,660.3973987,25.08340836,1799.156128,1249.632202,37.46323013,-0.462944724,24.8770192466667
"165","a3.2","warm",29.42352343,0.081770426,841.0934317,25.04109192,1800.246948,1499.584839,36.71219635,-0.462944724,24.8770192466667
"166","a3.2","warm",29.14839613,0.072492477,1064.170107,25.06942749,1799.996216,1799.850586,36.37602615,-0.462944724,24.8770192466667
"167","a3.3","warm",0.322613532,0.645731608,47.27846386,25.06932259,1799.182129,49.99470901,65.48625183,-0.492323622333333,25.0243364966667
"168","a3.3","warm",4.481362627,0.700753894,80.57613896,24.92204666,1799.324829,100.0477448,66.57298279,-0.492323622333333,25.0243364966667
"169","a3.3","warm",8.082780324,0.747871348,116.6309282,24.9125042,1799.369385,149.6957092,67.12110138,-0.492323622333333,25.0243364966667
"170","a3.3","warm",11.68464455,0.735923513,151.9693633,24.95779991,1799.458984,199.7153625,66.99721527,-0.492323622333333,25.0243364966667
"171","a3.3","warm",14.57537476,0.624692304,184.9756086,25.02469635,1799.286621,250.2518921,64.86962128,-0.492323622333333,25.0243364966667
"172","a3.3","warm",16.8878115,0.490859739,212.5107681,25.12530136,1799.249512,300.2937622,62.15961838,-0.492323622333333,25.0243364966667
"173","a3.3","warm",22.82335846,0.285131631,324.684453,25.05068398,1800.281372,499.4859009,55.91679382,-0.492323622333333,25.0243364966667
"174","a3.3","warm",25.62496556,0.163534789,441.9212795,25.14255714,1798.891235,750.1342773,50.88780975,-0.492323622333333,25.0243364966667
"175","a3.3","warm",28.53720034,0.145071947,616.6191006,25.04833221,1798.807983,1000.128601,50.09400177,-0.492323622333333,25.0243364966667
"176","a3.3","warm",29.21353928,0.143116065,845.6233011,24.91456032,1799.070068,1249.520386,50.11485672,-0.492323622333333,25.0243364966667
"177","a3.3","warm",28.82175865,0.146861155,1101.339351,24.87653542,1799.925049,1500.144531,49.95025635,-0.492323622333333,25.0243364966667
"178","a3.3","warm",29.21508858,0.145663197,1384.25913,24.83203888,1799.938721,1799.834595,49.80688095,-0.492323622333333,25.0243364966667
"179","a3.4","warm",0.25982013,0.727311691,47.26027284,24.99475861,1801.046509,49.62304688,64.79277039,-0.47,25
"180","a3.4","warm",4.916723929,0.795602549,81.04906415,24.97727966,1800.814697,100.294075,66.17762756,-0.47,25
"181","a3.4","warm",9.030911315,0.862154596,117.1090779,24.94354439,1800.902954,150.0367126,67.39913177,-0.47,25
"182","a3.4","warm",13.0674411,0.905181144,152.7613216,24.93141556,1801.029785,198.7037659,68.22015381,-0.47,25
"183","a3.4","warm",16.95050423,0.881972595,190.4665004,24.9143219,1801.311401,250.630722,67.90769196,-0.47,25
"184","a3.4","warm",20.12314085,0.755200193,222.3235564,25.00411606,1801.461426,300.0249023,65.99025726,-0.47,25
"185","a3.4","warm",28.09174454,0.593087306,372.1014772,25.09441185,1799.621094,499.3267822,62.72124863,-0.47,25
"186","a3.4","warm",31.29987584,0.417086177,566.9318431,25.10137177,1799.352051,750.1785889,58.83729935,-0.47,25
"187","a3.4","warm",31.85685521,0.31874321,769.2113916,25.07014847,1799.438477,1000.62207,55.85669327,-0.47,25
"188","a3.4","warm",32.76831316,0.272789669,976.9824002,25.03130341,1799.787964,1249.444092,53.90996933,-0.47,25
"189","a3.4","warm",33.25404445,0.251658306,1200.513678,24.9382,1800.041992,1500.343994,53.31263733,-0.47,25
"190","a3.4","warm",33.27005115,0.233913773,1474.957439,24.89760399,1800.986938,1800.22937,52.47098923,-0.47,25
"191","f3.1","warm",8.609706156,0.585920681,16.21559098,24.78724098,1800.796265,49.23622894,63.62097931,-0.536921327333333,25.0609900166667
"192","f3.1","warm",17.47294326,0.595527336,33.82847024,24.88644791,1801.324097,100.1087646,62.36167908,-0.536921327333333,25.0609900166667
"193","f3.1","warm",25.73964402,0.609322407,55.35747751,24.89583015,1799.71582,151.5604706,62.63848114,-0.536921327333333,25.0609900166667
"194","f3.1","warm",30.66499033,0.63292874,88.93501505,24.86650848,1799.693115,201.1251221,63.05181503,-0.536921327333333,25.0609900166667
"195","f3.1","warm",32.02924918,0.648725695,134.576373,24.91847801,1800.917236,250.9556732,62.84123611,-0.536921327333333,25.0609900166667
"196","f3.1","warm",32.25969256,0.656404414,206.6590826,24.91982651,1798.848511,324.965332,62.41193008,-0.536921327333333,25.0609900166667
"197","f3.1","warm",32.57767581,0.66567253,279.6857126,24.98096275,1800.167114,400.1247559,62.38883591,-0.536921327333333,25.0609900166667
"198","f3.1","warm",32.84533276,0.664707526,473.5709718,24.97986984,1799.968506,600.6669922,62.14900589,-0.536921327333333,25.0609900166667
"199","f3.1","warm",32.87677322,0.637014463,663.9706876,25.06619072,1800.035767,800.4260254,61.68867493,-0.536921327333333,25.0609900166667
"200","f3.1","warm",33.34279441,0.600862936,1046.065788,25.01828957,1800.005615,1200.475342,61.39263535,-0.536921327333333,25.0609900166667
"201","f3.1","warm",33.71568156,0.559719871,1329.712853,24.99615669,1799.97644,1500.675171,60.51659012,-0.536921327333333,25.0609900166667
"202","f3.2","warm",7.092606908,0.490501647,18.29786365,24.65517616,1799.734497,49.49487686,59.661129,-0.587041387333333,24.8890647866667
"203","f3.2","warm",15.14775394,0.503538913,35.16618655,24.86038208,1800.163452,100.4197845,60.90037537,-0.587041387333333,24.8890647866667
"204","f3.2","warm",22.66413381,0.535881365,57.9434246,24.94595146,1800.24646,151.3306732,60.2674675,-0.587041387333333,24.8890647866667
"205","f3.2","warm",26.70045908,0.560798237,93.05390883,24.95903206,1800.363525,200.2027435,60.77022934,-0.587041387333333,24.8890647866667
